,Brand_Family_Desc,region_desc,Gross_Sales,Advertisement_and_discount_cost,Transfer_Price_COGS,Distribution_cost_supply_chain,Distribution_cose_Sales_-_Region
0,,,,310896.0,,,68279.51
1,,,,240715.0,,,51840.13
2,,,,0.0,,,7635.5
3,,Karnataka,,0.0,,,4167.0
4,,,,659064.0,,,46360.65
5,,Karnataka,,0.0,,,4166.0
6,,,,1.0,,,71157.87
7,,,,0.0,,,101911.16
8,,,,411974.0,,,43688.32
9,,Karnataka,,0.0,,,4164.0
10,,,,-2600216.0,,,-269305.04
11,,,,489534.0,,,145811.86
12,,Haryana Region,,1011238.0,,,0.0
13,,,,744804.0,,,0.0
14,,Haryana Region,,-1016185.79,,,0.0
15,,Karnataka,,0.0,,,4167.0
16,,Karnataka,,0.0,,,4166.0
17,,,,2600215.0,,,51383.36
18,,,,2600216.0,,,323397.96
19,,,,1408354.0,,,-724083.24
20,,,,498133.0,,,50333.67
21,,Haryana Region,,-1011238.0,,,0.0
22,,Karnataka,,0.0,,,8334.0
23,,,,618138.0,,,36954.51
24,,Karnataka,,0.0,,,4167.0
25,,Karnataka,,0.0,,,4167.0
26,,,,0.0,,,-9843.69
27,,Karnataka,,0.0,,,4167.0
28,Aberlour,"Goa, Daman & Gujarat",,0.0,,,8333.34
29,Aberlour,Punjab Region,,0.0,,,16667.0
30,Aberlour,Telangana Region,,0.0,,,1500.0
31,Aberlour,Telangana Region,,0.0,,,7637.95
32,Aberlour,"Goa, Daman & Gujarat",,1250.0,,,8333.34
33,Aberlour,Karnataka,,26000.0,,,8991.4
34,Aberlour,Punjab Region,,0.0,,,16667.0
35,Aberlour,Punjab Region,,-100000.0,,,16667.0
36,Aberlour,Telangana Region,,0.0,,,160.21
37,Aberlour,Telangana Region,,0.0,,,141.75
38,Aberlour,MP Chattisgarh Region,303156.0,77000.0,146856.266676,8763.9972,63540.44
39,Aberlour,MP Chattisgarh Region,54224.0,2500.0,20895.27,333.42,11825.89
40,Aberlour,MP Chattisgarh Region,50685.0,4500.0,16471.17,1000.26,13884.61
41,Aberlour,MP Chattisgarh Region,176698.0,-31000.0,77457.8,1877.9994,11588.0
42,Aberlour,Punjab Region,25200.0,3750.0,6686.15,1667.1,3333.33
43,Aberlour,Punjab Region,756000.0,262500.0,200584.5,50013.0,16666.66
44,Aberlour,Punjab Region,0.0,1750.0,0.0,,16667.0
45,Aberlour,Punjab Region,0.0,0.0,0.0,,16667.0
46,Aberlour,Punjab Region,0.0,25000.0,0.0,,10000.0
47,Aberlour,ASS ARP MEG TRI MZR,0.0,,0.0,,
48,Aberlour,ASS ARP MEG TRI MZR,0.0,,0.0,,
49,Aberlour,Punjab Region,1260000.0,430750.0,334307.5,83355.0,5000.0
50,Aberlour,Punjab Region,1713600.0,585820.0,738593.33322,106419.966,10000.0
51,Aberlour,Punjab Region,0.0,0.0,0.0,,10000.0
52,Aberlour,Punjab Region,42840.0,8750.0,18296.833335,1564.9995,20000.0
53,Aberlour,Punjab Region,0.0,0.0,0.0,,20000.0
54,Aberlour,Delhi,473760.0,256951.0,125699.62,31341.48,0.0
55,Aberlour,Delhi,60480.0,12600.0,16046.76,4001.04,8774.0
56,Aberlour,Delhi,0.0,,0.0,,
57,Aberlour,Delhi,0.0,,0.0,,
58,Aberlour,Delhi,257040.0,189000.0,68147.4,10002.6,0.0
59,Aberlour,Delhi,0.0,,0.0,,
60,Aberlour,Delhi,0.0,,0.0,,
61,Aberlour,"Goa, Daman & Gujarat",0.0,8000.0,0.0,,0.0
62,Aberlour,"Goa, Daman & Gujarat",3046960.0,111650.0,2097946.6668,125199.96,4166.67
63,Aberlour,"Goa, Daman & Gujarat",0.0,,0.0,,
64,Aberlour,"Goa, Daman & Gujarat",0.0,158.66,0.0,,4166.66
65,Aberlour,"Goa, Daman & Gujarat",0.0,,0.0,,
66,Aberlour,ASS ARP MEG TRI MZR,,0.0,,,50000.0
67,Aberlour,Punjab Region,,0.0,,,15000.0
68,Aberlour,"Goa, Daman & Gujarat",,0.0,,,43333.34
69,Aberlour,Telangana Region,,0.0,,,115.6
70,Aberlour,West Bengal & Sikkim,0.0,,0.0,,
71,Aberlour,West Bengal & Sikkim,915768.0,,414237.366567,9702.9969,
72,Aberlour,Uttar Pradesh Region,0.0,,0.0,,
73,Aberlour,Uttar Pradesh Region,3024000.0,1401948.0,1303399.9998,187799.94,21167.0
74,Aberlour,Uttar Pradesh Region,1260000.0,0.0,543083.33325,78249.975,21167.0
75,Aberlour,Uttar Pradesh Region,0.0,,0.0,,
76,Aberlour,Uttar Pradesh Region,0.0,,0.0,,
77,Aberlour,Uttar Pradesh Region,2540160.0,1008000.0,1149618.39972,26291.9916,0.0
78,Aberlour,Uttar Pradesh Region,0.0,,0.0,,
79,Aberlour,West Bengal & Sikkim,0.0,-19552.0,0.0,,14907.29
80,Aberlour,West Bengal & Sikkim,0.0,0.0,0.0,,14760.92
81,Aberlour,West Bengal & Sikkim,0.0,,0.0,,
82,Aberlour,West Bengal & Sikkim,0.0,,0.0,,
83,Aberlour,Rajasthan,0.0,,0.0,,
84,Aberlour,Rajasthan,0.0,,0.0,,
85,Aberlour,Rajasthan,0.0,-3167.0,0.0,,5833.34
86,Aberlour,Telangana Region,0.0,0.0,0.0,,3250.05
87,Aberlour,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",60480.0,30060.0,16046.76,4001.04,2950.0
88,Aberlour,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,0.0,0.0,,3049.32
89,Aberlour,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,0.0,0.0,,2950.0
90,Aberlour,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",42840.0,12707.0,18296.833335,1564.9995,2916.95
91,Aberlour,"Tamil Nadu, Andaman, Pondy, Mahe & Yanam Region",0.0,0.0,0.0,,2929.86
92,Aberlour,HP & Uttarakhand Region,0.0,,0.0,,
93,Aberlour,HP & Uttarakhand Region,25200.0,,6686.15,1667.1,
94,Aberlour,HP & Uttarakhand Region,0.0,,0.0,,
95,Aberlour,Uttar Pradesh Region,831600.0,159457.09,220642.95,55014.3,23181.82
96,Aberlour,Uttar Pradesh Region,25200.0,-1061960.72,10861.666665,1564.9995,21167.0
97,Aberlour,Uttar Pradesh Region,0.0,,0.0,,
98,Aberlour,Uttar Pradesh Region,0.0,,0.0,,
99,Aberlour,Uttar Pradesh Region,0.0,,0.0,,
100,Aberlour,West Bengal & Sikkim,0.0,19552.0,0.0,,14845.85
101,Aberlour,West Bengal & Sikkim,0.0,0.0,0.0,,14689.81
102,Aberlour,West Bengal & Sikkim,1007999.5,17755.0700000001,434466.6666,62599.98,3662.23
103,Aberlour,West Bengal & Sikkim,0.0,,0.0,,
104,Aberlour,West Bengal & Sikkim,257040.0,,109781.00001,9389.997,
105,Aberlour,West Bengal & Sikkim,907200.0,,410577.9999,9389.997,
106,Aberlour,West Bengal & Sikkim,0.0,,0.0,,
107,Aberlour,West Bengal & Sikkim,0.0,,0.0,,
108,Aberlour,West Bengal & Sikkim,0.0,,0.0,,
109,Aberlour,West Bengal & Sikkim,0.0,,0.0,,
110,Aberlour,"Goa, Daman & Gujarat",,2000.0,,,8333.34
111,Aberlour,Punjab Region,,100000.0,,,16667.0
